Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
DEPARTMENT OF TRANSPORTATION,Design Subject Matter Expert (SME),CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,83887,113725,Annual,"28-11 Queens Plaza No., L.I.C."
DEPARTMENT OF SANITATION,ELECTRICIAN (AUTOMOBILE),ELECTRICIAN (AUTOMOBILE),Building Operations & Maintenance,F,277.04,322.4,Daily,"Bay 41St St & Gravesend Bay, B"
DEPARTMENT OF SANITATION,ELECTRICIAN (AUTOMOBILE),ELECTRICIAN (AUTOMOBILE),Building Operations & Maintenance,F,277.04,322.4,Daily,"Bay 41St St & Gravesend Bay, B"
DEPT OF ENVIRONMENT PROTECTION,Gardener 2,GARDENER,Building Operations & Maintenance,F,51950,62446,Annual,"329 Greenpoint Ave., Brooklyn"
DEPT OF ENVIRONMENT PROTECTION,Gardener 2,GARDENER,Building Operations & Maintenance,F,51950,62446,Annual,"329 Greenpoint Ave., Brooklyn"
LAW DEPARTMENT,CLERICAL ASSOCIATE (PART TIME),CLERICAL ASSOCIATE,"Technology, Data & Innovation",P,18.5413,30.0378,Hourly,"100 Church St., N.Y."
LAW DEPARTMENT,CLERICAL ASSOCIATE (PART TIME),CLERICAL ASSOCIATE,"Technology, Data & Innovation",P,18.5413,30.0378,Hourly,"100 Church St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Engineering Technician I,ENGINEERING TECHNICIAN,"Public Safety, Inspections, & Enforcement",F,36239,41675,Annual,420 East 38Th St.
DEPT OF ENVIRONMENT PROTECTION,Engineering Technician I,ENGINEERING TECHNICIAN,"Public Safety, Inspections, & Enforcement",F,36239,41675,Annual,420 East 38Th St.
DEPARTMENT OF TRANSPORTATION,TRAFFIC DEVICE MAINTAINER,TRAFFIC DEVICE MAINTAINER,"Public Safety, Inspections, & Enforcement",F,45270,59534,Annual,NYC - All Boroughs
DEPARTMENT OF TRANSPORTATION,TRAFFIC DEVICE MAINTAINER,TRAFFIC DEVICE MAINTAINER,"Public Safety, Inspections, & Enforcement",F,45270,59534,Annual,NYC - All Boroughs
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,164-21 110 Ave. Jamaica Queens
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,164-21 110 Ave. Jamaica Queens
NYC HOUSING AUTHORITY,Equal Employment and Fair Housing Analyst,AGENCY ATTORNEY INTERNE,"Legal Affairs Public Safety, Inspections, & Enforcement",F,57944,70353,Annual,Equal Opportunity Department
NYC HOUSING AUTHORITY,Equal Employment and Fair Housing Analyst,AGENCY ATTORNEY INTERNE,"Legal Affairs Public Safety, Inspections, & Enforcement",F,57944,70353,Annual,Equal Opportunity Department
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,ADMINISTRATIVE STAFF ANALYST (,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,67060,178873,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,ADMINISTRATIVE STAFF ANALYST (,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,67060,178873,Annual,96-05 Horace Harding Expway
DEPARTMENT OF BUSINESS SERV.,"PROGRAM COORDINATOR, BUSINESS INCENTIVES PROGRAMS",COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,51369,60000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"PROGRAM COORDINATOR, BUSINESS INCENTIVES PROGRAMS",COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,51369,60000,Annual,110 William St. N Y
DEPT OF ENVIRONMENT PROTECTION,CAD OPERATOR,ENGINEERING TECHNICIAN,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,52194,72742,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,CAD OPERATOR,ENGINEERING TECHNICIAN,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,52194,72742,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,CIVIL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,83887,113725,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,CIVIL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,83887,113725,Annual,96-05 Horace Harding Expway
HRA/DEPT OF SOCIAL SERVICES,DEPUTY COUNSEL,EXECUTIVE AGENCY COUNSEL,Legal Affairs Social Services,F,60435,130000,Annual,253 Broadway New York Ny
HRA/DEPT OF SOCIAL SERVICES,DEPUTY COUNSEL,EXECUTIVE AGENCY COUNSEL,Legal Affairs Social Services,F,60435,130000,Annual,253 Broadway New York Ny
DEPT OF DESIGN & CONSTRUCTION,Data Management Analyst,ASSOCIATE STAFF ANALYST,"Administration & Human Resources Technology, Data & Innovation",F,65731,97873,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Data Management Analyst,ASSOCIATE STAFF ANALYST,"Administration & Human Resources Technology, Data & Innovation",F,65731,97873,Annual,30-30 Thomson Ave L I City Qns
MAYORS OFFICE OF CONTRACT SVCS,"Policy Analyst, Mayor's Office for Economic Opportunity",RESEARCH PROJECTS COOR(MA)-MGR,"Technology, Data & Innovation",F,65000,80000,Annual,253 Broadway New York Ny
MAYORS OFFICE OF CONTRACT SVCS,"Policy Analyst, Mayor's Office for Economic Opportunity",RESEARCH PROJECTS COOR(MA)-MGR,"Technology, Data & Innovation",F,65000,80000,Annual,253 Broadway New York Ny
DEPARTMENT OF TRANSPORTATION,Assistant Highway Transportation Specialist,ASSISTANT HIGHWAY TRANSPORTATI,"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",F,47891,70457,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Assistant Highway Transportation Specialist,ASSISTANT HIGHWAY TRANSPORTATI,"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",F,47891,70457,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Project Manager Intern,PROJECT MANAGER INTERN#,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,47974,55170,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Project Manager Intern,PROJECT MANAGER INTERN#,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,47974,55170,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Assistant Highway Transportation Specialist,ASSISTANT HIGHWAY TRANSPORTATI,"Constituent Services & Community Programs Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,47891,70457,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Assistant Highway Transportation Specialist,ASSISTANT HIGHWAY TRANSPORTATI,"Constituent Services & Community Programs Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,47891,70457,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Telecommunications Associate (DATA),TELECOMMUNICATIONS ASSOCIATE (,"Technology, Data & Innovation",F,56365,77250,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Telecommunications Associate (DATA),TELECOMMUNICATIONS ASSOCIATE (,"Technology, Data & Innovation",F,56365,77250,Annual,55 Water St Ny Ny
DEPARTMENT OF SANITATION,COLLEGE AIDE,COLLEGE AIDE - ASSIGNMENT LEVE,Administration & Human Resources,P,15,20,Hourly,"137 Centre St., N.Y."
DEPARTMENT OF SANITATION,COLLEGE AIDE,COLLEGE AIDE - ASSIGNMENT LEVE,Administration & Human Resources,P,15,20,Hourly,"137 Centre St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Design Lead / Group Leader,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,83887,113725,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Design Lead / Group Leader,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,83887,113725,Annual,96-05 Horace Harding Expway
MAYORS OFFICE OF CONTRACT SVCS,"Deputy Director of Programs, Mayor's Office of M/WBE",RESEARCH PROJECTS COOR(MA)-MGR,"Finance, Accounting, & Procurement Technology, Data & Innovation Legal Affairs Policy, Research & Analysis",F,115000,123000,Annual,253 Broadway New York Ny
MAYORS OFFICE OF CONTRACT SVCS,"Deputy Director of Programs, Mayor's Office of M/WBE",RESEARCH PROJECTS COOR(MA)-MGR,"Finance, Accounting, & Procurement Technology, Data & Innovation Legal Affairs Policy, Research & Analysis",F,115000,123000,Annual,253 Broadway New York Ny
MAYORS OFFICE OF CONTRACT SVCS,Quality Assurance Engineer,RESEARCH PROJECTS COOR(MA)-MGR,"Technology, Data & Innovation",F,95000,115000,Annual,"22 Reade St, Ny"
MAYORS OFFICE OF CONTRACT SVCS,Quality Assurance Engineer,RESEARCH PROJECTS COOR(MA)-MGR,"Technology, Data & Innovation",F,95000,115000,Annual,"22 Reade St, Ny"
DEPARTMENT OF BUSINESS SERV.,WOMEN ENTREPRENEURS NEW YORK CITY (WE NYC) & BUSINESS PATHWAYS,COLLEGE AIDE (ALL CITY DEPTS),Constituent Services & Community Programs,P,13.5,17.9,Hourly,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,WOMEN ENTREPRENEURS NEW YORK CITY (WE NYC) & BUSINESS PATHWAYS,COLLEGE AIDE (ALL CITY DEPTS),Constituent Services & Community Programs,P,13.5,17.9,Hourly,110 William St. N Y
DEPT OF INFO TECH & TELECOMM,"Director, Messaging Architecture",COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation",,60435,140000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,"Director, Messaging Architecture",COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation",,60435,140000,Annual,2 Metro Tech
DEPT OF DESIGN & CONSTRUCTION,Executive Program Director,ADMINISTRATIVE CONSTRUCTION PR,"Engineering, Architecture, & Planning",F,67060,178873,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Executive Program Director,ADMINISTRATIVE CONSTRUCTION PR,"Engineering, Architecture, & Planning",F,67060,178873,Annual,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,Software Developer,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,64657,74356,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,Software Developer,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,69618,80061,Annual,421 East 26th Street NY NY
DEPARTMENT OF BUSINESS SERV.,"DIRECTOR, OPERATIONS",ADMINISTRATIVE BUSINESS PROMOT,Constituent Services & Community Programs,F,60435,75000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"DIRECTOR, OPERATIONS",ADMINISTRATIVE BUSINESS PROMOT,Constituent Services & Community Programs,F,60435,75000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,WE NYC INTERN,COLLEGE AIDE (ALL CITY DEPTS),Constituent Services & Community Programs,P,13.5,17.9,Hourly,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,WE NYC INTERN,COLLEGE AIDE (ALL CITY DEPTS),Constituent Services & Community Programs,P,13.5,17.9,Hourly,110 William St. N Y
DEPARTMENT OF SANITATION,ELECTRICIAN,ELECTRICIAN,Building Operations & Maintenance,F,389.97,389.97,Daily,"Bay 41St St & Gravesend Bay, B"
DEPARTMENT OF SANITATION,ELECTRICIAN,ELECTRICIAN,Building Operations & Maintenance,F,389.97,389.97,Daily,"Bay 41St St & Gravesend Bay, B"
DEPT OF ENVIRONMENT PROTECTION,Health & Safety Specialist,INDUSTRIAL HYGIENIST,"Health Public Safety, Inspections, & Enforcement",F,44116,62391,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Health & Safety Specialist,INDUSTRIAL HYGIENIST,"Health Public Safety, Inspections, & Enforcement",F,44116,62391,Annual,59-17 Junction Blvd Corona Ny
DEPT OF HEALTH/MENTAL HYGIENE,"Application Developer,  Bureau of School Health/  SH MIS",CERT IT DEVELOPER (APP),"Health Technology, Data & Innovation",F,79564,91499,Annual,"28-11 Queens Plaza No., L.I.C."
DEPT OF HEALTH/MENTAL HYGIENE,"Application Developer,  Bureau of School Health/  SH MIS",CERT IT DEVELOPER (APP),"Health Technology, Data & Innovation",F,79564,91499,Annual,"28-11 Queens Plaza No., L.I.C."
DEPT OF DESIGN & CONSTRUCTION,Data Analytics Specialist,COMPUTER SPECIALIST (OPERATION,"Technology, Data & Innovation",F,74395,116126,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Data Analytics Specialist,COMPUTER SPECIALIST (OPERATION,"Technology, Data & Innovation",F,74395,116126,Annual,30-30 Thomson Ave L I City Qns
DEPARTMENT OF SANITATION,Estimator,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,63074,91347,Annual,"44 Beaver St., N.Y."
DEPARTMENT OF SANITATION,Estimator,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,63074,91347,Annual,"44 Beaver St., N.Y."
DEPT OF DESIGN & CONSTRUCTION,Web Application Developer,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,82884,116391,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Web Application Developer,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,82884,116391,Annual,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Director, Office of Learning and Improvement",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,87768,110000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Director, Office of Learning and Improvement",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,87768,110000,Annual,42-09 28th Street
DEPT OF DESIGN & CONSTRUCTION,Director of Data Analytics,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,60435,161497,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Director of Data Analytics,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,60435,161497,Annual,30-30 Thomson Ave L I City Qns
DEPT OF ENVIRONMENT PROTECTION,Industrial Control Technician,COMPUTER SPECIALIST (OPERATION,"Technology, Data & Innovation",F,74395,116126,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Industrial Control Technician,COMPUTER SPECIALIST (OPERATION,"Technology, Data & Innovation",F,74395,116126,Annual,96-05 Horace Harding Expway
DEPARTMENT OF INVESTIGATION,Investigator,CONFIDENTIAL INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,41996,50000,Annual,80 Maiden Lane
DEPARTMENT OF INVESTIGATION,Investigator,CONFIDENTIAL INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,41996,50000,Annual,80 Maiden Lane
DEPT OF ENVIRONMENT PROTECTION,Associate Water Use inspector,ASSOCIATE WATER USE INSPECTOR,"Public Safety, Inspections, & Enforcement",F,64636,81498,Annual,"1932 Arthur Ave, Bronx"
DEPARTMENT OF INVESTIGATION,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,50227,61800,Annual,80 Maiden Lane
DEPARTMENT OF INVESTIGATION,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,50227,61800,Annual,80 Maiden Lane
DEPT OF ENVIRONMENT PROTECTION,"Deputy Chief, Shoreline Survey Unit",SCIENTIST (WATER ECOLOGY),"Policy, Research & Analysis",F,61324,87489,Annual,"Wards Island, N.Y."
DEPT OF ENVIRONMENT PROTECTION,"Deputy Chief, Shoreline Survey Unit",SCIENTIST (WATER ECOLOGY),"Policy, Research & Analysis",F,61324,87489,Annual,"Wards Island, N.Y."
DEPT OF ENVIRONMENT PROTECTION,"Deputy Chief, Industrial Pollution Prevention Unit",SCIENTIST (WATER ECOLOGY),"Policy, Research & Analysis",F,61324,87489,Annual,"Wards Island, N.Y."
DEPT OF ENVIRONMENT PROTECTION,"Deputy Chief, Industrial Pollution Prevention Unit",SCIENTIST (WATER ECOLOGY),"Policy, Research & Analysis",F,61324,87489,Annual,"Wards Island, N.Y."
DEPT OF ENVIRONMENT PROTECTION,Technical Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,49390,71794,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Technical Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,49390,71794,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Mechanical Engineer,ASSISTANT MECHANICAL ENGINEER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,55416,83151,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Mechanical Engineer,ASSISTANT MECHANICAL ENGINEER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,55416,83151,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Sustainability Analyst,PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,53134,79726,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Sustainability Analyst,PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,53134,79726,Annual,96-05 Horace Harding Expway
DEPARTMENT OF SANITATION,ELECTRICIAN,ELECTRICIAN,Building Operations & Maintenance,F,389.97,389.97,Daily,"52-35 58Th St., Woodside, Ny"
DEPARTMENT OF SANITATION,ELECTRICIAN,ELECTRICIAN,Building Operations & Maintenance,F,389.97,389.97,Daily,"52-35 58Th St., Woodside, Ny"
LAW DEPARTMENT,Production Typist,LEGAL SECRETARIAL ASSISTANT AL,Legal Affairs,F,38879,48115,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Production Typist,LEGAL SECRETARIAL ASSISTANT AL,Legal Affairs,F,38879,48115,Annual,"100 Church St., N.Y."
ADMIN FOR CHILDREN'S SVCS,PrePlacement Staff Nurse,STAFF NURSE,Health,F,76399,76399,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,PrePlacement Staff Nurse,STAFF NURSE,Health,F,76399,76399,Annual,"150 William Street, New York N"
DEPT OF ENVIRONMENT PROTECTION,"Senior Policy Advisor, Energy Regulatory Affairs",EXECUTIVE PROGRAM SPECIALIST (,"Communications & Intergovernmental Affairs Policy, Research & Analysis",F,54643,100000,Annual,253 Broadway New York Ny
DEPT OF ENVIRONMENT PROTECTION,"Senior Policy Advisor, Energy Regulatory Affairs",EXECUTIVE PROGRAM SPECIALIST (,"Communications & Intergovernmental Affairs Policy, Research & Analysis",F,54643,100000,Annual,253 Broadway New York Ny
OFFICE OF EMERGENCY MANAGEMENT,GIS ESRI ENTERPRISE PROGRAM MANAGER,EMERGENCY PREPAREDNESS SPECIAL,"Technology, Data & Innovation",F,70000,74000,Annual,165 Cadman Plaza East
OFFICE OF EMERGENCY MANAGEMENT,GIS ESRI ENTERPRISE PROGRAM MANAGER,EMERGENCY PREPAREDNESS SPECIAL,"Technology, Data & Innovation",F,70000,74000,Annual,165 Cadman Plaza East
TAXI & LIMOUSINE COMMISSION,Director of the Office of Inclusion,COMMUNITY COORDINATOR,"Constituent Services & Community Programs Policy, Research & Analysis",F,52524,81535,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Director of the Office of Inclusion,COMMUNITY COORDINATOR,"Constituent Services & Community Programs Policy, Research & Analysis",F,52524,81535,Annual,"33 Beaver St, New York Ny"
DEPT OF CITYWIDE ADMIN SVCS,Landscape Architect Level 1,LANDSCAPE ARCHITECT,"Engineering, Architecture, & Planning",F,63074,72535,Annual,"1 Centre St., N.Y."
DEPT OF CITYWIDE ADMIN SVCS,Landscape Architect Level 1,LANDSCAPE ARCHITECT,"Engineering, Architecture, & Planning",F,63074,72535,Annual,"1 Centre St., N.Y."
LAW DEPARTMENT,Clerical Associate (PT) - Communications and Docketing Services,CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"100 Church St., N.Y."
LAW DEPARTMENT,Clerical Associate (PT) - Communications and Docketing Services,CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"100 Church St., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Patient Billing, Bureau of Budget and Revenue",HEALTH SERVICES MANAGER,Health,F,54643,126360,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Patient Billing, Bureau of Budget and Revenue",HEALTH SERVICES MANAGER,Health,F,54643,126360,Annual,42-09 28th Street
LAW DEPARTMENT,Clerical Associate (PT) - Bronx - RTA,CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"260 E 161St St., Bronx"
LAW DEPARTMENT,Clerical Associate (PT) - Bronx - RTA,CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"260 E 161St St., Bronx"
LAW DEPARTMENT,Clerical Associate (PT) - Queens - RTA,CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"162-24 Jamaica Ave, Jamaica Ny"
LAW DEPARTMENT,Clerical Associate (PT) - Queens - RTA,CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"162-24 Jamaica Ave, Jamaica Ny"
HRA/DEPT OF SOCIAL SERVICES,Attorney Interne,AGENCY ATTORNEY INTERNE,Legal Affairs Social Services,F,57944,57944,Annual,4 World Trade Center
HRA/DEPT OF SOCIAL SERVICES,Attorney Interne,AGENCY ATTORNEY INTERNE,Legal Affairs Social Services,F,57944,57944,Annual,4 World Trade Center
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, CONSTRUCTION INDUSTRY PARTNERSHIP",ADMINISTRATIVE BUSINESS PROMOT,Constituent Services & Community Programs,F,60435,130000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, CONSTRUCTION INDUSTRY PARTNERSHIP",ADMINISTRATIVE BUSINESS PROMOT,Constituent Services & Community Programs,F,60435,130000,Annual,110 William St. N Y
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH ADVISER (SCHOOL,Health,P,20.78,24.74,Hourly,"1 Court Square, Queens"
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH ADVISER (SCHOOL,Health,P,20.78,24.74,Hourly,"1 Court Square, Queens"
HRA/DEPT OF SOCIAL SERVICES,DIRECTOR FOR PROGRAM ANALYSIS AND QUALITY CONTROL UNIT,ADMINISTRATIVE STAFF ANALYST (,Administration & Human Resources Social Services,F,58675,130000,Annual,4 World Trade Center
DEPT OF INFO TECH & TELECOMM,Budget Associate,COMMUNITY ASSOCIATE,"Technology, Data & Innovation",,37217,50000,Annual,15 Metrotech
DEPT OF INFO TECH & TELECOMM,Budget Associate,COMMUNITY ASSOCIATE,"Technology, Data & Innovation",,37217,50000,Annual,15 Metrotech
LAW DEPARTMENT,Paralegal - Bronx,PARALEGAL AIDE,Legal Affairs,F,41939,58688,Annual,"260 E 161St St., Bronx"
LAW DEPARTMENT,Paralegal - Bronx,PARALEGAL AIDE,Legal Affairs,F,41939,58688,Annual,"260 E 161St St., Bronx"
DEPARTMENT OF TRANSPORTATION,Safety Professional,CITY RESEARCH SCIENTIST,"Administration & Human Resources Public Safety, Inspections, & Enforcement",F,70286,88213,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Safety Professional,CITY RESEARCH SCIENTIST,"Administration & Human Resources Public Safety, Inspections, & Enforcement",F,70286,88213,Annual,55 Water St Ny Ny
DEPT OF ENVIRONMENT PROTECTION,"Policy Advisor, Building Energy Efficiency Programs",CITY RESEARCH SCIENTIST,"Policy, Research & Analysis",F,59708,70000,Annual,253 Broadway New York Ny
DEPT OF ENVIRONMENT PROTECTION,"Policy Advisor, Building Energy Efficiency Programs",CITY RESEARCH SCIENTIST,"Policy, Research & Analysis",F,59708,70000,Annual,253 Broadway New York Ny
DEPARTMENT OF FINANCE,Senior Director-Call Center,ADMINISTRATIVE ACCOUNTANT,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement",F,60435,113000,Annual,59 Maiden Lane
DEPARTMENT OF FINANCE,Senior Director-Call Center,ADMINISTRATIVE ACCOUNTANT,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement",F,60435,113000,Annual,59 Maiden Lane
DEPT OF HEALTH/MENTAL HYGIENE,Medicolegal Investigator I,MEDICOLEGAL INVESTIGATOR (OCME,Health,F,71723,83362,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,Medicolegal Investigator I,MEDICOLEGAL INVESTIGATOR (OCME,Health,F,71723,83362,Annual,421 East 26th Street NY NY
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,67060,178873,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,67060,178873,Annual,96-05 Horace Harding Expway
MANHATTAN COMMUNITY BOARD #8,Community Assistant,COMMUNITY ASSISTANT,Constituent Services & Community Programs,P,19,19,Hourly,"316 East 88 Street, New York N"
MANHATTAN COMMUNITY BOARD #8,Community Assistant,COMMUNITY ASSISTANT,Constituent Services & Community Programs,P,19,19,Hourly,"316 East 88 Street, New York N"
DEPT OF INFO TECH & TELECOMM,Director of Cyber Risk,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation",F,67060,165000,Annual,255 Greenwich Street
DEPT OF INFO TECH & TELECOMM,Director of Cyber Risk,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation",F,67060,165000,Annual,255 Greenwich Street
DEPARTMENT OF SANITATION,Associate Project Manager III,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,87490,118610,Annual,"44 Beaver St., N.Y."
DEPARTMENT OF SANITATION,Associate Project Manager III,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,87490,118610,Annual,"44 Beaver St., N.Y."
TAXI & LIMOUSINE COMMISSION,Procurement Analyst,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,60000,85000,Annual,"33 Beaver St, New York Ny"
DEPARTMENT OF BUSINESS SERV.,DATA OPERATIONS INTERN,COLLEGE AIDE (ALL CITY DEPTS),Constituent Services & Community Programs,P,13.5,17.9,Hourly,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,DATA OPERATIONS INTERN,COLLEGE AIDE (ALL CITY DEPTS),Constituent Services & Community Programs,P,13.5,17.9,Hourly,110 William St. N Y
